eeacellcode	specieskey	species	datasetkey	countrycode	basisofrecord	COUNT(*)	isCitizenScience
10kmE263N196	3048831	Cakile maritima	835ac57e-f762-11e1-a439-00145eb45e9a	PT	PRESERVED_SPECIMEN	1	0
10kmE265N178	3048831	Cakile maritima	14d5676a-2c54-4f94-9023-1e8dcd822aa0	PT	HUMAN_OBSERVATION	2	0
10kmE273N173	3048831	Cakile maritima	4cf3eec1-b902-40c9-b15b-05c5fe5928b6	PT	HUMAN_OBSERVATION	2	0
10kmE381N313	3048831	Cakile maritima	271c444f-f8d8-4986-b748-e7367755c0c1	BE	HUMAN_OBSERVATION	181	1
10kmE389N321	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	2	1
10kmE397N319	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	1	1
10kmE407N338	3048831	Cakile maritima	8a863029-f435-446a-821e-275f4f641165	NL	HUMAN_OBSERVATION	276	1
10kmE268N190	3048831	Cakile maritima	7fe3eb5c-42bd-49d7-a30b-82c353ef6575	PT	HUMAN_OBSERVATION	4	0
10kmE409N338	3048831	Cakile maritima	15f819bd-6612-4447-854b-14d12ee1022d	NL	PRESERVED_SPECIMEN	3	0
10kmE619N178	3048831	Cakile maritima	c1492854-5d15-40e9-9ee7-24a18ac05112	TR	OCCURRENCE	1	0
10kmE265N178	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	HUMAN_OBSERVATION	1	1
10kmE381N313	3048831	Cakile maritima	b740eaa0-0679-41dc-acb7-990d562dfa37	BE	PRESERVED_SPECIMEN	17	0
10kmE389N315	3048831	Cakile maritima	20e3fcbb-c285-49ee-a93d-cc6ccd06ca9e	NL	HUMAN_OBSERVATION	1	0
10kmE394N324	3048831	Cakile maritima	14d5676a-2c54-4f94-9023-1e8dcd822aa0	NL	HUMAN_OBSERVATION	1	0
10kmE269N204	3048831	Cakile maritima	7a3679ef-5582-4aaa-81f0-8c2545cafc81	PT	HUMAN_OBSERVATION	2	0
10kmE391N317	3048831	Cakile maritima	740df67d-5663-41a2-9d12-33ec33876c47	NL	HUMAN_OBSERVATION	1	0
